联网设备名称,SN,变量名称,从机序号,从机名称,time,value
设备5_new,6.1694E+16,温度,2,土壤,47:30.7,14
设备5_new,6.1694E+16,温度,2,土壤,47:34.2,14
设备5_new,6.1694E+16,温度,2,土壤,17:35.6,20
设备5_new,6.1694E+16,温度,2,土壤,19:36.5,19
设备5_new,6.1694E+16,温度,2,土壤,22:00.7,19
设备5_new,6.1694E+16,温度,2,土壤,27:03.0,18
设备5_new,6.1694E+16,温度,2,土壤,31:58.6,18
设备5_new,6.1694E+16,温度,2,土壤,37:09.1,18
设备5_new,6.1694E+16,温度,2,土壤,42:05.7,19
设备5_new,6.1694E+16,温度,2,土壤,46:56.5,19
设备5_new,6.1694E+16,温度,2,土壤,52:00.0,20
设备5_new,6.1694E+16,温度,2,土壤,57:02.5,19
设备5_new,6.1694E+16,温度,2,土壤,02:00.2,19
设备5_new,6.1694E+16,温度,2,土壤,07:12.2,19
设备5_new,6.1694E+16,温度,2,土壤,12:04.9,18
设备5_new,6.1694E+16,温度,2,土壤,16:59.6,17
设备5_new,6.1694E+16,温度,2,土壤,21:58.7,17
设备5_new,6.1694E+16,温度,2,土壤,27:01.0,16
设备5_new,6.1694E+16,温度,2,土壤,31:57.8,16
设备5_new,6.1694E+16,温度,2,土壤,37:05.2,16
设备5_new,6.1694E+16,温度,2,土壤,42:01.4,16
设备5_new,6.1694E+16,温度,2,土壤,47:01.0,17
设备5_new,6.1694E+16,温度,2,土壤,52:01.7,18
设备5_new,6.1694E+16,温度,2,土壤,57:01.2,19
设备5_new,6.1694E+16,温度,2,土壤,02:08.6,19
设备5_new,6.1694E+16,温度,2,土壤,07:16.2,20
设备5_new,6.1694E+16,温度,2,土壤,12:00.5,21
设备5_new,6.1694E+16,温度,2,土壤,16:58.5,21
设备5_new,6.1694E+16,温度,2,土壤,21:58.7,21
设备5_new,6.1694E+16,温度,2,土壤,27:03.9,20
设备5_new,6.1694E+16,温度,2,土壤,31:57.4,21
设备5_new,6.1694E+16,温度,2,土壤,37:01.7,21
设备5_new,6.1694E+16,温度,2,土壤,42:02.5,21
设备5_new,6.1694E+16,温度,2,土壤,46:59.5,22
设备5_new,6.1694E+16,温度,2,土壤,52:00.2,22
设备5_new,6.1694E+16,温度,2,土壤,57:01.5,22
设备5_new,6.1694E+16,温度,2,土壤,01:56.7,22
设备5_new,6.1694E+16,温度,2,土壤,07:10.7,22
设备5_new,6.1694E+16,温度,2,土壤,12:00.4,22
设备5_new,6.1694E+16,温度,2,土壤,17:00.8,22
设备5_new,6.1694E+16,温度,2,土壤,22:02.3,22
设备5_new,6.1694E+16,温度,2,土壤,27:01.2,21
设备5_new,6.1694E+16,温度,2,土壤,32:00.7,21
设备5_new,6.1694E+16,温度,2,土壤,37:05.9,21
设备5_new,6.1694E+16,温度,2,土壤,42:00.2,21
设备5_new,6.1694E+16,温度,2,土壤,46:58.8,20
设备5_new,6.1694E+16,温度,2,土壤,52:00.2,20
设备5_new,6.1694E+16,温度,2,土壤,57:04.0,19
设备5_new,6.1694E+16,温度,2,土壤,00:36.3,18
设备5_new,6.1694E+16,温度,2,土壤,02:15.7,18
设备5_new,6.1694E+16,温度,2,土壤,07:12.7,17
设备5_new,6.1694E+16,温度,2,土壤,12:06.9,16
设备5_new,6.1694E+16,温度,2,土壤,16:59.8,16
设备5_new,6.1694E+16,温度,2,土壤,22:00.9,15
设备5_new,6.1694E+16,温度,2,土壤,27:04.1,15
设备5_new,6.1694E+16,温度,2,土壤,32:02.4,14
设备5_new,6.1694E+16,温度,2,土壤,37:06.4,14
设备5_new,6.1694E+16,温度,2,土壤,42:04.9,13
设备5_new,6.1694E+16,温度,2,土壤,46:58.9,13
设备5_new,6.1694E+16,温度,2,土壤,52:02.3,12
设备5_new,6.1694E+16,温度,2,土壤,57:00.3,12
设备5_new,6.1694E+16,温度,2,土壤,02:05.8,11
设备5_new,6.1694E+16,温度,2,土壤,07:13.4,11
