time,value
1,14
2,14
3,20
4,19
5,19
6,18
7,18
8,18
9,19
10,19
11,20
12,19
13,19
14,19
15,18
16,17
17,17
18,16
19,16
20,16
21,16
22,17
23,18
24,19
25,19
26,20
27,21
28,21
29,21
30,20
31,21
32,21
33,21
34,22
35,22
36,22
37,22
38,22
39,22
40,22
41,22
42,21
43,21
44,21
45,21
46,20
47,20
48,19
49,18
50,18
51,17
52,16
53,16
54,15
55,15
56,14
57,14
58,13
59,13
60,12
61,12
62,11
63,11
64,11
65,11
66,11
67,11
68,11
69,11
70,11
71,11
72,11
73,11
74,11
75,11
76,11
77,11
78,11
79,11
80,11
81,11
82,11
83,11
84,11
85,11
86,11
87,11
88,11
89,11
90,11
91,11
92,11
93,11
94,11
95,11
96,11
97,11
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,9
125,9
126,9
127,9
128,9
129,9
130,9
131,9
132,9
133,9
134,9
135,9
136,9
137,9
138,9
139,9
140,9
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,9
149,9
150,9
151,9
152,9
153,9
154,9
155,9
156,9
157,9
158,9
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,8
182,8
183,8
184,8
185,8
186,8
187,8
188,8
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,7
198,7
199,7
200,7
201,7
202,7
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,8
261,8
262,9
263,9
264,10
265,11
266,11
267,12
268,13
269,14
270,15
271,16
272,16
273,17
274,17
275,17
276,17
277,17
278,17
279,17
280,17
281,17
282,17
283,18
284,18
285,18
286,17
287,17
288,18
289,18
290,19
291,18
292,18
293,18
294,19
295,19
296,19
297,18
298,18
299,19
300,20
301,21
302,21
303,21
304,21
305,21
306,21
307,20
308,19
309,19
310,19
311,20
312,20
313,20
314,20
315,20
316,21
317,22
318,22
319,21
320,22
321,22
322,22
323,22
324,22
325,22
326,21
327,21
328,21
329,20
330,20
331,20
332,19
333,19
334,19
335,18
336,18
337,17
338,17
339,16
340,16
341,15
342,15
343,14
344,14
345,14
346,13
347,13
348,13
349,13
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,11
385,11
386,11
387,11
388,11
389,11
390,11
391,11
392,11
393,11
394,11
395,11
396,11
397,11
398,11
399,11
400,11
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,11
409,11
410,11
411,11
412,11
413,11
414,11
415,11
416,11
417,11
418,11
419,11
420,11
421,11
422,10
423,11
424,10
425,11
426,11
427,11
428,10
429,10
430,10
431,10
432,10
433,10
434,10
