27,55750,31,1025,472,16,,
21:58.9,23,28,50900,28,1025,486.0,13.0
28,33630,24,1025,488,12,,
26,27810,29,1025,477,10,,
46:59.2,23,25,0,37,1025,486.0,9.0
24,0,40,1025,487,9,,
23,0,47,1025,488,9,,
11:59.9,20,21,0,53,1025,490.0,9.0
21,0,54,1025,493,9,,
20,0,58,1026,492,9,,
37:05.5,18,19,0,60,1026,492.0,9.0
18,0,62,1026,493,9,,
17,0,64,1026,492,9,,
01:58.0,17,17,0,66,1026,493.0,9.0
16,0,66,1026,493,9,,
16,0,68,1027,492,9,,
27:04.5,16,15,0,69,1027,492.0,8.0
15,0,70,1027,491,9,,
14,0,71,1027,492,8,,
52:05.2,15,14,0,72,1027,491.0,8.0
13,0,72,1027,493,9,,
13,0,73,1027,490,8,,
16:58.3,14,13,0,74,1027,490.0,8.0
13,0,74,1027,491,8,,
12,0,75,1027,492,8,,
42:10.9,13,12,0,75,1028,490.0,8.0
12,0,75,1028,490,8,,
11,0,76,1028,488,8,,
07:17.0,13,11,0,77,1028,489.0,8.0
11,0,77,1028,490,8,,
11,0,77,1028,488,8,,
31:58.2,12,11,0,78,1029,489.0,8.0
11,0,78,1029,488,8,,
10,0,79,1029,487,8,,
57:04.6,12,10,0,79,1029,489.0,8.0
10,0,79,1029,491,8,,
10,0,79,1029,490,8,,
22:04.7,11,10,0,80,1029,491.0,8.0
10,0,80,1029,490,8,,
10,0,80,1029,490,8,,
47:01.1,11,10,0,80,1029,492.0,8.0
9,0,81,1029,492,8,,
9,0,81,1030,493,8,,
12:03.0,11,9,0,81,1030,494.0,8.0
9,0,81,1030,492,8,,
9,0,82,1030,494,8,,
37:08.1,10,9,0,82,1030,493.0,8.0
9,0,82,1030,492,8,,
9,0,82,1030,497,8,,
01:57.4,10,9,0,82,1030,495.0,8.0
9,0,82,1030,495,8,,
9,0,82,1030,496,8,,
27:01.7,10,9,0,82,1030,496.0,8.0
9,0,82,1031,498,8,,
9,0,82,1031,497,8,,
52:00.5,9,8,0,83,1031,499.0,8.0
8,0,83,1031,498,8,,
8,0,83,1031,497,8,,
16:58.2,9,8,0,83,1031,498.0,8.0
8,0,83,1031,494,8,,
8,0,83,1031,499,8,,
41:58.1,9,8,0,83,1031,499.0,8.0
8,0,83,1032,497,8,,
8,0,83,1032,502,8,,
07:11.9,9,8,0,83,1032,499.0,8.0
